0.22;1.45;0.98;2.34;0.67;1.12
3.21;0.09;2.58;0.74;1.02;0.35
2.41;0.56;1.85;0.45;3.67;0.91
1.23;2.05;0.87;2.15;0.64;1.19
3.12;0.47;1.72;2.88;0.53;1.14
1.89;3.06;0.73;1.35;2.48;0.61
0.33;2.14;0.99;3.25;1.74;0.57
2.01;0.62;1.58;2.47;0.85;1.32
3.67;0.11;1.49;2.02;0.96;0.47
1.28;3.18;0.44;1.23;2.64;0.89
1.77;0.52;2.35;0.66;3.08;1.05
0.72;2.21;1.09;3.12;0.45;1.98
2.34;0.88;1.47;0.36;3.19;0.63
1.12;2.78;0.91;1.35;2.02;0.56
0.64;3.14;1.22;2.05;0.43;1.87
1.92;0.51;3.06;0.84;2.67;1.13
0.34;2.45;1.01;0.58;3.22;1.04
2.78;0.32;1.76;0.91;2.41;1.53
1.45;0.72;3.08;0.63;2.25;1.17
0.59;1.82;2.47;0.49;1.93;3.01
3.34;1.06;0.98;2.65;1.21;0.83
2.17;0.57;1.49;2.78;0.41;3.19
0.64;1.02;2.89;1.33;0.56;3.07
2.45;0.78;1.61;3.14;0.83;1.22
0.71;1.98;2.04;0.58;1.45;3.67
1.32;0.42;2.35;1.85;0.93;2.18
3.08;1.06;0.54;2.91;0.77;1.53
0.66;2.34;1.09;3.21;1.12;0.47
1.85;0.39;3.15;1.56;0.84;2.02
2.73;0.51;1.27;3.18;0.93;1.44
0.89;2.54;1.03;2.71;0.65;1.19
3.34;0.72;1.62;2.25;0.46;1.87
0.97;3.12;0.59;2.48;1.08;0.45
2.14;0.82;1.57;0.66;3.06;1.35
1.29;0.78;2.41;0.93;1.76;3.19
0.58;2.85;1.32;0.41;3.07;0.64
2.03;1.27;0.91;2.54;0.36;1.84
0.47;1.65;3.11;0.52;1.92;2.68
1.18;0.93;2.37;0.54;3.29;1.02
2.06;0.37;1.64;2.15;0.99;1.83
0.55;3.24;0.68;1.41;2.72;1.17
2.18;0.64;1.59;0.83;2.05;3.09
